City, Country
Algiers, Algeria
Ouagadougou, Burkina Faso
Accra, Ghana
Abuja, Nigeria
Uyo, Nigeria
Kano, Nigeria
Lagos, Nigeria
Niamey, Niger
Tunis, Tunisia
Cape Town, South Africa
George, South Africa
Johannesburg, South Africa
Durban, South Africa
Johannesburg, South Africa
Gaborone, Botswana
Port Louis, Mauritius
Lusaka, Zambia
Antananarivo, Madagascar
Luanda, Angola
Maputo, Mozambique
Mahe Island, Seychelles
N'Djamena, Chad
Harare, Zimbabwe
Kinshasa, Congo
Bamako, Mali
Freetown, Sierra Leone
Monrovia, Liberia
Casablanca, Morocco
Dakar, Senegal
Dakar, Senegal
Nouakchott, Mauritania
Espargos, Cape Verde
Addis Ababa, Ethiopia
Hargeisa, Somalia
Cairo, Egypt
Hurghada, Egypt
Luxor, Egypt
Nairobi, Kenya
Mombasa, Kenya
Tripoli, Libya
Kigali, Rwanda
Juba, South Sudan
Khartoum, Sudan
Dar es Salaam, Tanzania
Zanzibar, Tanzania
Kampala, Uganda
Johannesburg, South Africa
Enfidha, Tunisia
